Symbol,Timestamp,Open,High,Low,Close,Volume,VWAP
GOOGL,2023-03-14 04:00:00 UTC,92.56,94.36,92.44,93.97,41590252,93.63894
GOOGL,2023-03-15 04:00:00 UTC,93.22,96.93,92.64,96.11,57566055,95.41869
GOOGL,2023-03-16 04:00:00 UTC,96.2,101.19,95.5,100.32,71025070,99.644737
GOOGL,2023-03-17 04:00:00 UTC,100.26,102.835,100.1,101.62,76164772,101.364217
GOOGL,2023-03-20 04:00:00 UTC,100.12,101.75,99.87,101.22,36376708,100.966002
GOOGL,2023-03-21 04:00:00 UTC,101.25,105.1,101.22,104.92,46137322,103.947069
GOOGL,2023-03-22 04:00:00 UTC,104.27,106.59,103.33,103.37,46139412,104.864389
GOOGL,2023-03-23 04:00:00 UTC,105.06,106.3,104.46,105.6,45379561,105.6118
GOOGL,2023-03-24 04:00:00 UTC,104.99,105.49,103.84,105.44,33699053,104.992468
GOOGL,2023-03-27 04:00:00 UTC,104.615,104.76,101.9273,102.46,34704040,103.043331
GOOGL,2023-03-28 04:00:00 UTC,102.44,102.45,99.74,101.03,34317028,100.636295
GOOGL,2023-03-29 04:00:00 UTC,102.28,102.49,100.65,101.39,32341075,101.41167
GOOGL,2023-03-30 04:00:00 UTC,100.91,101.155,99.78,100.89,36048319,100.57701
GOOGL,2023-03-31 04:00:00 UTC,101.3,103.89,101.04,103.73,36659808,102.957704
GOOGL,2023-04-03 04:00:00 UTC,102.39,104.53,101.93,104.36,27826987,103.595508
GOOGL,2023-04-04 04:00:00 UTC,104.33,105.58,104.04,104.72,27560354,104.766618
GOOGL,2023-04-05 04:00:00 UTC,105.78,106.1,103.66,104.47,31132245,104.458493
GOOGL,2023-04-06 04:00:00 UTC,105.26,109.17,104.33,108.42,53120101,107.445923
GOOGL,2023-04-10 04:00:00 UTC,106.98,107.59,105.12,106.44,29643222,106.266585
GOOGL,2023-04-11 04:00:00 UTC,106.55,106.73,104.68,105.35,26622854,105.515321
GOOGL,2023-04-12 04:00:00 UTC,106.58,106.75,104.34,104.64,26706490,105.098812
GOOGL,2023-04-13 04:00:00 UTC,105.84,107.49,105.84,107.43,27822101,107.004675
GOOGL,2023-04-14 04:00:00 UTC,106.89,108.94,106.84,108.87,29813305,108.210456
GOOGL,2023-04-17 04:00:00 UTC,104.658,106.16,104.52,105.97,38098196,105.38766
GOOGL,2023-04-18 04:00:00 UTC,106.49,106.54,104.07,104.5,29156034,104.998546
GOOGL,2023-04-19 04:00:00 UTC,103.58,104.98,103.07,104.18,23073554,104.132596
GOOGL,2023-04-20 04:00:00 UTC,103.91,106.25,103.8684,105.29,31106249,105.155625
GOOGL,2023-04-21 04:00:00 UTC,105.47,106,104.78,105.41,29202317,105.356103
GOOGL,2023-04-24 04:00:00 UTC,105.49,106.63,104.7,105.97,23799705,105.881802
GOOGL,2023-04-25 04:00:00 UTC,105.825,106.69,103.84,103.85,50489943,104.874556
GOOGL,2023-04-26 04:00:00 UTC,104.92,106.35,102.63,103.71,57147021,104.298699
GOOGL,2023-04-27 04:00:00 UTC,104.45,108.37,103.54,107.59,55453299,107.140071
GOOGL,2023-04-28 04:00:00 UTC,107.04,107.35,105.09,107.34,40213583,106.714626
GOOGL,2023-05-01 04:00:00 UTC,106.84,107.99,106.82,107.2,29803327,107.305235
GOOGL,2023-05-02 04:00:00 UTC,107.14,107.2,103.71,105.32,34907400,105.270747
GOOGL,2023-05-03 04:00:00 UTC,105.53,107.49,104.96,105.41,23985874,105.870136
GOOGL,2023-05-04 04:00:00 UTC,105.485,105.6,103.97,104.69,25775263,104.805569
GOOGL,2023-05-05 04:00:00 UTC,104.82,105.88,104.11,105.57,29847196,105.171889
GOOGL,2023-05-08 04:00:00 UTC,105.18,107.96,105.16,107.77,26511445,107.118315
GOOGL,2023-05-09 04:00:00 UTC,108.39,110.15,107.19,107.35,39262774,108.396598
GOOGL,2023-05-10 04:00:00 UTC,107.97,112.94,107.93,111.75,67723030,110.769188
GOOGL,2023-05-11 04:00:00 UTC,115.395,117.92,114.41,116.57,83049670,116.759565
GOOGL,2023-05-12 04:00:00 UTC,116.68,118.03,116.11,117.51,44616085,117.09346
GOOGL,2023-05-15 04:00:00 UTC,116.11,118.48,116.01,116.51,38701669,116.989585
GOOGL,2023-05-16 04:00:00 UTC,116.49,120.75,116.43,119.51,47617157,119.333163
GOOGL,2023-05-17 04:00:00 UTC,119.61,121.67,118.89,120.84,33723554,120.310299
GOOGL,2023-05-18 04:00:00 UTC,120.95,123.31,120.83,122.83,39309818,122.394358
GOOGL,2023-05-19 04:00:00 UTC,123.55,125.97,122.15,122.76,45250541,123.332723
